objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
wlc011,wlc012.pdf,,,"Benson v. State Eng'r, 131 Nev. 772",,2015-09-24,"Nev. Rev. Stat. § 533.395(2) requires a party aggrieved by the cancellation of a water permit to exhaust all available administrative remedies before seeking judicial review, even when the remedy that the State Engineer is authorized to provide is not the remedy that the party seeks; [2]-Administrative proceedings were not futile, even though the State Engineer was limited, if the cancellation was rescinded, to reinstating the water permit with a priority date of 2013, rather than the original priority date of 1960, as sought by the permittee; [3]-The district court properly ruled that it could not grant the permittee equitable relief; her suspicions that the administrative remedy would be inadequate were unsupported.",appropriation;beneficial use;NRS 535.395;NRS 533.384;NRS 533.450,"Eureka county, NV",40.19443229,-116.376643,131 Nev. 772,,Case Law,application/pdf,,,
wlc012,wlc013.pdf,,,"Land Baron Invs., Inc. v. Bonnie Springs Family Ltd. P'ship, 131 Nev. 686",,2015-09-17,"The district court did not err in denying appellant's motion for summary judgment on its mutual mistake rescission claim because it provided no evidence that respondents ever represented that there would be no impediment to gaining access for a subdivision via either of two roads, or that respondents had stated that it would supply the property with water; [2]-Respondents were not liable for nondisclosure regarding water rights or access because appellant could have, and did, discover the facts surrounding the difficulty or impossibility of obtaining sufficient water and access for a subdivision; those defects arose from government regulations, were public knowledge, and were available to anyone upon inquiry; [3]-Respondents failed to establish the elements of abuse of process.",inspection,"Bonnie Springs, NV",36.05979379,-115.4534679,131 Nev. 686,,Case Law,application/pdf,,,
wlc013,wlc014.pdf,,,"In re Nev. State Eng'r Ruling No. 5823, 128 Nev. 232",,2012-05-31,"The ruling allocated groundwater rights in a basin that was wholly within another county but was hydrologically connected to the surface waters of a river in which the petitioning county and the tribe had an interest. The State Engineer sought a change of venue to the county in which the basin was located. Some applicants challenged the district court's subject matter jurisdiction. The district court concluded that it lacked subject matter jurisdiction and dismissed the case without considering the administrative record. The court held that Nev. Rev. Stat. § 533.450(1) did not vest exclusive jurisdiction in the court of the county where all or part of the applicant's water rights were situated, unless the exception for stream systems governed by a decree of court applied. Instead, the statute's wording plainly contemplated more than one permissible forum, depending on the location, nature, and origin of the interests allegedly affected. Moreover, the general forum clause in Nev. Rev. Stat. § 533.450(1) addressed venue, rather than subject matter jurisdiction. Thus, the district court could determine venue under the general venue statutes in Nev. Rev. Stat. ch. 13 as appropriate.",streams;groundwater;surface water;NRS 533.450,"Churchill County, NV",39.5043023,-118.2975122,128 Nev. 232,,Case Law,application/pdf,,,
wlc014,wlc015.pdf,,,"Pyramid Lake Paiute Tribe of Indians v. Ricci, 126 Nev. 521",,2010-12-16,"The supreme court noted that because the tribe did not have rights to the Dodge Flat groundwater, the State Engineer appropriately excluded the tribe's unauthorized use to determine if the basin contained unappropriated water. The change applications would not affect existing water rights. Based on the tribe's own evidence, the change application would not affect its senior water rights under the Orr Ditch decree. Because the tribe had no authorization to use the Dodge Flat groundwater, its use did not have priority over the company's rights. The change use application did not threaten to prove detrimental to the public interest. The company was only permitted to pump water up to the amount of the unappropriated perennial yield. The State Engineer imposed this limitation in part to protect the Truckee River water quality and native fish habitats. Any potential threat to the public interest was therefore not the result of the company's proposed change. Rather, the potential threat was again the consequence of the tribe's continued pumping Dodge Flat groundwater without a permit or implied right.",groundwater;reservation;lakes;unappropriated;NRS 533.024;NRS 533.370,"Pyramid Lake Paiute Reservation, NV",39.9735522,-119.4871139,126 Nev. 521,,Case Law,application/pdf,,,
wlc015,wlc016.pdf,,,"Howell v. Ricci, 124 Nev. 1222",,2008-12-24,"The supreme court noted that it had to address what constituted a State Engineer decision subject to review and whether a petition for extraordinary writ relief was the proper procedural mechanism to review such a decision. The State Engineer's November 23, 2005, letter to the landowners was reviewable under Nev. Rev. Stat. § 533.450(1) because in that letter the State Engineer communicated its refusal to open the headgates to the landowners' property and amended respondent company's permits to exclude the landowners' water rights. That decision affected the landowners' interest with respect to their rights to use the water. Judicial review was the proper procedural mechanism for reviewing a State Engineer's decision. Since the State Engineer never had authority to resolve title questions, and the 2005 legislative amendments clarified that the State Engineer lacked that authority, contrary to the landowners' contentions, the 2005 legislative amendments to Nev. Rev. Stat. ch. 533 did not have any effect on the case.",diversion;NRS 533.450;NRS 533.024;NRS 533.386,"Humboldt County, NV",41.23540991,-118.1525314,124.Nev. 1222,,Case Law,application/pdf,,,
wlc016,wlc017.pdf,,,"Adaven Mgmt. v. Mt. Falls Acquisition Corp., 124 Nev. 770",,2008-09-11,"The previous owner of the property had received a loan from respondent bank. The security for the loan included the water rights permit but not the land to which it was appurtenant. The purchaser argued that Nev. Rev. Stat. § 533.040 and the anti-speculation doctrine precluded the previous owner from validly pledging the permit as security for a loan without also pledging the land to which the permit was appurtenant or seeking severance of the water right from the land. The court concluded that summary judgment for the permit holder was appropriate because no genuine issue of material fact existed regarding the purchaser's notice of the bank's interest in the permit. Neither § 533.040 nor the anti-speculation doctrine limited the free alienability of water rights as separate property. Because the bank had properly recorded its interest in the permit before the purchaser took title to the land, the purchaser had constructive notice of the permit's mortgage and sale and did not take title to those water rights. No genuine issue of material fact existed concerning whether a search of the grantee-grantor indices would have revealed the deed of trust encumbering the permit.",beneficial use;acre feet;NRS 533.040;NRS 247.150;NRS 111.312,"Nye County, NV",38.11862807,-116.4113373,124 Nev. 770,,Case Law,application/pdf,,,
wlc017,wlc018.pdf,,,"Andersen Family Assocs. v. Ricci, 124 Nev. 182",,2008-03-27,"The sole issue was whether the city had lost priority in certain vested water rights after the State Engineer canceled and later reinstated a permit modifying the use of those rights pursuant to Nev. Rev. Stat. § 533.395. Two unambiguous statutes were in conflict: Nev. Rev. Stat. §§ 533.085(1) and 533.395(3). The argument that vested water rights could be lost by applying for and receiving a permit modifying the use of those rights failed as nothing in Nev. Rev. Stat. ch. 533 or prior case law suggested that an application to modify vested rights amounted to intentional abandonment of those rights. Thus, the cancellation and later reinstatement of the city's permit did not affect its underlying vested rights. Although it lost the right to use the water in the approved manner when the permit was cancelled, it did not lose the priority attached to its vested rights because such a result would have impaired the city's vested rights in violation of Nev. Rev. Stat. § 533.085(1). The city's decision to apply for a permit did not subject its water rights to Nev. Rev. Stat. § 533.395(3) because although it changed the use, its vested rights remained of the same character.",vested rights;appropriation;creek;forfeited water rights;NRS 533.395;NRS 533.085,"Carson City, NV",39.16647354,-119.7653437,124 Nev. 182,,Case Law,application/pdf,,,
wlc018,wlc019.pdf,,,"Bacher v. Office of the State Eng'r of Nev., 122 Nev. 1110",,2006-11-22,"A real estate company owned a number of acres of land in Nevada and California. The city had three casinos, a mall, a welcome center, and a power plant. These facilities' water needs were serviced by a corporation, the entity under which the real estate company held water rights. The real estate company sought to expand its operation. The residents argued that, as a matter of law, Nev. Rev. Stat. § 533.370(6)(a) could only be satisfied by an applicant presenting evidence of personal need for water. The supreme court considered whether an agent could properly apply for water rights permits on behalf of the actual appropriator. The supreme court concluded that an agent could request permits based on the ultimate user's need for water. Nevertheless, the supreme court also adopted an anti-speculation doctrine, which required the agent to have a contractual or agency relationship with the water's appropriator. In this case, the agent properly applied for a water rights permit on behalf of the appropriator; however, the supreme court concluded that the State Engineer failed to properly consider the evidence in determining the need for water in the import basin.",beneficial use;appropriation;groundwater;NRS 533.370,"Primm, NV",35.60824581,-115.384112,122 Nev. 1110,,Case Law,application/pdf,,,
wlc019,wlc020.pdf,,,"Dep't of Conservation & Natural Res. v. Foley, 121 Nev. 77",,2005-04-14,"The Nevada State Engineer granted a permit to the seller of land for well service to his four parcels of land. The permit required that the holder file certain certificates with the Division, including a Proof of Completion of Work and a Proof of Water to Beneficial Use. The seller failed to file a Proof of Water to Beneficial Use certificate. The Engineer subsequently cancelled the seller's permit. Prior to the cancellation, the seller conveyed two parcels of land to the purchasers. No one filed a report or record of the transactions with the Engineer. The purchasers filed an action for reinstatement of the permit. The trial court held that the purchasers were entitled to notice of cancellation and issued an injunction directing that the permit be reinstated. On appeal, the court found that the State of Nevada was under no obligation to give notice of cancellation to parties whose interests were not of record with the Division. The purchasers' failure to file reports with the Division constituted direct failures to comply with Nev. Rev. Stat. § 533.384(1)(a) (1995). Accordingly, the trial court abused its discretion when it provided injunctive relief.",beneficial use;NRS 533.384;NRS 533.386,"Clark County, NV",36.40932515,-115.1101231,121 Nev. 77,,Case Law,application/pdf,,,
wlc020,wlc021.pdf,,,"Preferred Equities Corp. v. State Eng'r, 119 Nev. 384",,2003-08-29,"In 1988, the corporation filed an application with the State Engineer to change the diversion point and usage of certain water rights. The State Engineer did not immediately act on that application and, in 1992, commenced separate forfeiture proceedings on the same water rights. In 1996, the State Engineer concluded that the corporation did not utilize the water rights for a period exceeding five years, and he declared the rights in forfeit. The corporation did not appeal. Thereafter, in 1997, the State Engineer issued another ruling denying the 1988 application to change the point of diversion and the usage of the rights that were declared forfeited in the first ruling. The corporation filed a petition for judicial review of the second ruling. The district court dismissed the petition. On appeal, the court affirmed, finding that, under Nev. Rev. Stat. § 534.090(1), the corporation's water rights reverted to the public once the State Engineer determined them forfeited and the forfeiture became final upon the corporation's failure to appeal that ruling within 30 days. Additionally, the court held that the application to change the manner of use did not toll the forfeiture period.",forfeited water rights;beneficial use;NRS 534.090;NRS 533.040;NRS 533.450,"Nye County, NV",38.11862807,-116.4113373,119 Nev. 384,,Case Law,application/pdf,,,
wlc021,wlc022.pdf,,,"S. Fork Band of the Te-Moak Tribe v. State Eng'r, in Re Determination of Relative Rights of Claimants and Appropriators of Waters of the Humboldt River Stream Sys., 118 Nev. 901",,2002-12-26,"Appellants challenged: (1) the trial court's order that the Tribe enact a legislative resolution to provide a safe environment for water commissioners and allow access to the tribal property by the water commissioners to carry out their duties under a modified set of water rights decrees, collectively known as the Humboldt Decree; (2) the trial court's order that it had to post a $ 10,000 bond; and (3) the tribal chairman's suspended three-day jail sentence. The instant court held that the trial court's contempt power did not encompass the power to order the Tribe to enact a legislative resolution. While the trial court had jurisdiction over the Tribe to ensure compliance with the Humboldt Decree, this jurisdiction did not extend to compelling legislative action by the Tribal Council. Requiring the Tribe to take legislative action constituted an abuse of discretion by the trial court. The trial court had the authority to require the Tribe to post a bond if it violated the valid portions of the contempt order in the future. The trial court abused its discretion in sentencing the tribal chairman to a suspended jail sentence for an official act.",contempt order;reservation;NRS 533.220;NRS 22.100,"Humboldt County, NV",41.49896736,-118.1525314,118 Nev. 901,,Case Law,application/pdf,,,
wlc022,wlc023.pdf,,,"United States v. State Eng'r, 117 Nev. 585",,2001-07-24,"The State denied nine applications filed by the BLM for stockwater permits, finding that the BLM was not a qualified applicant for stockwater permits. The BLM contended that the plain language of Nev. Rev. Stat. § 533.503 authorized the State to issue stockwater permits to the BLM, and if it did not, the statute was unconstitutional. The BLM argued that the phrase ""legally entitled"" was not ambiguous and meant that either the landowner, or a person with the landowner's permission to use the land, was legally entitled to place livestock on the land. The statute was not ambiguous. To say that the United States, as owner of the public land, had to issue itself a permit to lease or graze livestock upon the land was an illogical and unreasonable construction of the statutory language. The statute indicated it required an applicant to have some legal authority to use the public land for grazing purposes and nothing else. The BLM was a qualified applicant under Nev. Rev. Stat. § 533.503.",livestock;public use;watering;appropriation;natural resources;NRS 533.503;NRS 533.030;NRS 370; NRS 533.450,"Douglas County, NV",38.95065691,-119.7682203,117 Nev. 585,,Case Law,application/pdf,,,
wlc023,wlc024.pdf,,,"Mineral County v. State, 117 Nev. 235",,2001-04-11,"Petitioners, a county and a private not for profit organization, sought a writ of prohibition to prevent respondents, the state, the department of natural resources, an irrigation district, and others, from granting additional rights to withdraw surface water or groundwater from a river system. Petitioners also sought a writ of mandamus challenging respondents' public trust obligations in managing and appropriating the river's water flows into a lake at the end of the river system. The supreme court denied the petitions, holding that the federal court, which had continuing involvement in the monitoring of the river system for more than 80 years, was the proper forum for the redress that petitioners sought. The decree previously issued by the federal court involved the allocation of interstate waters between California and Nevada, and a consistent and controlling interpretation by a federal court of competent jurisdiction was more appropriate. In addition, the supreme court lacked jurisdiction over several interested parties, including an Indian tribe and the United States.",lakes;rivers;appropriation;reservation;reservoirs;public trust;natural resources;navigable;surface water;NRS 34.160;NRS 34.320,"Mineral County, NV",38.688254,-118.693706,117 Nev. 235,,Case Law,application/pdf,,,
wlc024,wlc025.pdf,,,"South Fork Band of the Te-Moak Tribe of W. Shoshone Indians v. Sixth Judicial Dist. Court, 116 Nev. 805",,2000-08-24,"Real parties in interest, water commissioners and state engineer, sought an order from respondent district court directing petitioners, Indian tribe, to show cause why they should not have been held in contempt for frustrating the enforcement of water rights. Petitioners claimed the district court was without jurisdiction based on their sovereign immunity. Purchase of the reservation land subject to previously adjudicated water rights constituted an express waiver of sovereign immunity, and petitioners' actions in benefiting from and abiding by the Humboldt Decree for more than five decades served to ratify this waiver. District court was therefore within its authority in exercising jurisdiction over petitioners concerning the alleged interference with the administration of water rights pursuant to the decree. Petition for writ of prohibition was denied.",reservation;rivers;NRS 34.320,"Humboldt County, NV",40.81467416,-115.7636066,116 Nev. 805,,Case Law,application/pdf,,,
wlc025,https://www.leg.state.nv.us/Statutes/02nd1866/Stats186602.html#Stats186602page202,,,"Right of Way for Ditches and Flumes,1866 Nev. Stat. 202",,1866-03-03,"An Act to allow any person or persons to divert the Waters of any River or Stream, and run the same through any Ditch or Flume, and to provide for the Right of Way through the Lands of others.",rivers;streams,,,,1866 Statutes of Nevada,,Historical Statute,record,,,
wlc026,https://www.leg.state.nv.us/Statutes/14th1889/Stats188901.html#Stats188901page51,,,"Irrigation Act, 1889 Nev. Stat. 51",,1889-02-28,An Act defining and prohibiting the unlawful diversion and waste of water.,irrigation;rivers;creek;streams,,,,1889 Statutes of Nevada,,Historical Statute,record,,,
wlc027,https://www.leg.state.nv.us/Statutes/14th1889/Stats188901.html#Stats188901page96,,,"Undisturbed Right of Flowing Water, 1889 Nev. Stat. 96",,1889-03-09,"An Act to amend an Act entitled “An Act to allow any person or persons to divert the waters of any river or stream and run the same through any ditch or flume, and to provide the right of way through the land of others,” approved March 3, 1866.",ditches;flumes;flowing water,,,,1889 Statutes of Nevada,,Historical Statute,record,,,
wlc028,https://www.leg.state.nv.us/Statutes/14th1889/Stats188901.html#Stats188901page102,,,"Board of Reclamation Commissioners Created, 1889 Nev. Stat. 102",,1889-03-09,"An Act to provide for the storage of water, to encourage milling, mining and internal improvements and to reclaim the arable desert lands and develop the agricultural resources of the State of Nevada, and to provide funds for the payment of the same.",appropriation;waste;dams;canals;irrigation,,,,1889 Statutes of Nevada,,Historical Statute,record,,,
wlc029,https://www.leg.state.nv.us/Statutes/14th1889/Stats188901.html#Stats188901page107,,,"Irrigation Districts, 1889 Nev. Stat. 107",,1889-03-09,"An Act to regulate the use of water for irrigation and for other purposes; for settling the priority of rights thereto, and to punish the unlawful interference with such rights; to provide for the condemnation of land for reservoirs; for recording claims to water rights, and the appointment and duties of Water Commissioners.",irrigation;reservoirs;ditches,,,,1889 Statutes of Nevada,,Historical Statute,record,,,
wlc030,https://www.leg.state.nv.us/Statutes/19th1899/Stats189901.html#Stats189901page51,,,"Legislature Amended Irrigation Act, 1899 Nev. Stat. 51",,1899-03-07,"An Act to amend an Act entitled “An Act to provide for the organization and government of irrigation and water storage districts, and to provide for the acquisition of water and other property, and for the distribution of water thereby for irrigation purposes,” approved March 23, 1891.",irrigation;water storage,,,,1899 Statutes of Nevada,,Historical Statute,record,,,
wlc031,https://www.leg.state.nv.us/Statutes/19th1899/Stats189901.html#Stats189901page64,,,"Water Stored for Irrigation and its Uses, 1899 Nev. Stat. 64",,1899-03-09,An Act to provide for turning water stored for irrigation or other beneficial purposes into the channel of any stream and for reclaiming the same.,storage;streams;irrigation,,,,1899 Statutes of Nevada,,Historical Statute,record,,,
wlc032,https://www.leg.state.nv.us/Statutes/19th1899/Stats189901.html#Stats189901page115,,,"Board of Water Commissioners Created, 1899 Nev. Stat. 115",,1899-03-16,"An Act to define and preserve existing water rights, provide for the storage of surplus water, and regulate the mode of using and acquiring the use of water in the future.",surplus water;lakes;appropriation;investigation,,,,1899 Statutes of Nevada,,Historical Statute,record,,,
wlc033,https://www.leg.state.nv.us/Statutes/21st1903/Stats190301.html#Stats190301page18,,,"Cooperation of the State of Nevada with the Secretary of the Interior in the United States, 1903 Nev. Stat. 18",,1903-01-30,"An Act providing for the cooperation of the State of Nevada with the Secretary of the Interior of the United States in the construction and administration of irrigation works for the reclamation of arid lands in the State of Nevada for the measurement, appropriation and distribution of water, determination of water rights, preserving and certifying records thereof, creating officers for the enforcement hereof, defining the tenure of office, powers and duties and fixing their compensation; providing for penalties for infringements hereof, and enacting a standard measure of water and conferring upon the Secretary of the Interior such rights and powers under the laws of Nevada as are necessary to enable him to carry out and execute an Act of the Congress of the United States, approved June 17, 1902, entitled “An Act appropriating the receipts from the sale and disposal of public lands in certain States and Territories to the construction of irrigation works for the reclamation of arid lands.”",vested rights;streams;rivers;appropriation;irrigation,,,,1903 Statutes of Nevada,,Historical Statute,record,,,
wlc034,https://www.leg.state.nv.us/Statutes/21st1903/Stats190301.html#Stats190301page71,,,"Method of Measuring Water, 1903 Nev. Stat. 71",,1903-03-09,"An Act to provide for the measurement of water used on irrigated areas, the determination of the losses from irrigating ditches and the remedies therefor, and the study of the best methods of distributing and using water in growing crops in the State of Nevada, in cooperation with the United States Department of Agriculture and the Nevada Experiment Station.",irrigation;ditches;investigation,,,,1903 Statutes of Nevada,,Historical Statute,record,,,
wlc035,https://www.leg.state.nv.us/Statutes/22nd1905/Stats190501.html#Stats190501page67,,,"Duties of State Engineer, 1905 Nev. Stat. 67",,1905-03-01,"An Act amendatory of and supplemental to an Act entitled “An Act providing for the cooperation of the State of Nevada with the Secretary of the Interior of the United States in the construction and administration of irrigation works for the reclamation of arid lands in the State of Nevada, for the measurement, appropriation and distribution of water, determination of water rights, preserving and certifying records thereof, creating officers for the enforcement hereof, defining the tenure of office, powers and duties and fixing their compensation; providing for penalties for infringements hereof, and enacting a standard measure of water, and conferring upon the Secretary of the Interior such rights and powers under the laws of Nevada as are necessary to enable him to carry out and execute an Act of the Congress of the United States, approved June 17, 1902, entitled ‘An Act appropriating the receipts from the sale and disposal of public lands in certain States and Territories, to the construction of irrigation works for the reclamation of arid lands,’ ” approved February 16, 1903.",irrigation;appropriation,,,,1905 Statutes of Nevada,,Historical Statute,record,,,
wlc036,https://www.leg.state.nv.us/Statutes/22nd1905/Stats190502.html#Stats190502page197,,,"Measuring Water on Irrigated Areas, 1905 Nev. Stat. 197",,1905-03-17,"An Act to provide for the measurement of water used on irrigated areas, the determination of the losses from irrigating ditches and the remedies therefor, and the study of the best methods of distributing and using water in growing crops in the State of Nevada, in cooperation with the United States Department of Agriculture and the Nevada Experiment Station.",irrigation;ditches;appropriation;investigation,,,,1905 Statutes of Nevada,,Historical Statute,record,,,
wlc037,https://www.leg.state.nv.us/Statutes/22nd1905/Stats190502.html#Stats190502page257,,,"Wells in Southern Nevada, 1905 Nev. Stat. 257",,1905-03-24,"An Act to provide for the sinking, boring and development of wells in Southern Nevada.",wells;appropriation;vested rights,,,,1905 Statutes of Nevada,,Historical Statute,record,,,
wlc038,https://www.leg.state.nv.us/Statutes/23rd1907/Stats190701.html#Stats190701page30,,,"Appropriation of Waters for Public Use, 1907 Nev. Stat. 30",,1907-02-26,"An Act to provide for the appropriation, distribution and use of water, and to define and preserve existing water rights, to provide for the appointment of a State Engineer, an Assistant State Engineer, and fixing their compensation, duties and powers, defining the duties of the State Board of Irrigation, providing for the appointment of Water Commissioners and defining their duties.",appropriation,,,,1907 Statutes of Nevada,,Historical Statute,record,,,
wlc039,https://www.leg.state.nv.us/Statutes/23rd1907/Stats190701.html#Stats190701page38,,,"Repeal of Previous Acts, 1907 Nev. Stat. 38",,1907-02-26,"Section 32 of 1907 Nev. Stat. 30 - Repeal of previous acts from 1902, 1903, and 1905",repeal of previous acts;,,,,1907 Statutes of Nevada,,Historical Statute,record,,,
wlc040,https://www.leg.state.nv.us/Statutes/23rd1907/Stats190702.html#Stats190702page279,,,"Eminent Domain, 1907 Nev. Stat. 279",,1907-03-27,An Act to regulate the exercise of the right of eminent domain.,eminent domain;public use;reservoirs;dams;ditches;flumes;irrigation,,,,1907 Statutes of Nevada,,Historical Statute,record,,,
wlc041,https://www.leg.state.nv.us/Statutes/26th1913/Stats191301.html#Stats191301page12,,,"County Commissioners Authorized to Sink Artesian Wells, 1913 Nev. Stat. 12",,1913-02-20,"An Act authorizing the board of county commissioners of the various counties in the state to acquire real estate and to sink, or cause to be sunk thereon, artesian wells, and making the expense thereof a legal charge against the county.",wells,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc042,https://www.leg.state.nv.us/Statutes/26th1913/Stats191301.html#Stats191301page35,,,"Consenting to use of Lake Tahoe by U.S. Reclamation Service, 1913 Nev. Stat. 35",,1913-03-06,"An Act consenting to the use by the United States of America of Lake Tahoe, its waters, bed, shores, and capability of use for reservoir purposes, in connection with the Truckee-Carson reclamation project of the reclamation service of the United States.",Lake Tahoe;reclamation;lakes;reservoirs,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
